CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,GLAZLOC,GLAZTYPE,GLAZPRE,GLAZIMP,GLAZOCC,CASEWGT,PSUSTRAT,VERSION
6707,10,19,1-10-2017-019-02,2,1,1,1,1,2,3,62.26969384391000000000,4,2
7202,10,28,1-10-2017-028-03,3,1,1,1,1,2,3,224.66131530031300000000,4,2
7252,10,29,1-10-2017-029-05,5,1,1,1,1,2,3,50.22440395887630000000,4,2
7652,10,35,1-10-2017-035-05,5,1,2,2,2,1,2,46.58601633291680000000,4,2
7703,10,36,1-10-2017-036-08,8,1,1,1,1,2,3,120.86531935691100000000,4,2
7979,10,41,1-10-2017-041-09,9,1,1,1,1,2,3,2538.15212103402000000000,4,2
6619,11,11,1-11-2017-011-08,8,2,10,2,1,2,3,613.01599626985200000000,8,2
6809,11,18,1-11-2017-018-02,2,1,1,1,1,2,1,327.72235960346100000000,8,2
6809,11,18,1-11-2017-018-02,2,2,1,1,1,2,3,327.72235960346100000000,8,2
6844,11,19,1-11-2017-019-08,8,1,1,1,1,2,3,1502.31800595479000000000,8,2
7154,11,26,1-11-2017-026-05,5,2,1,1,1,2,3,562.47811420163700000000,8,2
7413,11,35,1-11-2017-035-01,1,2,1,1,1,3,4,473.93014835835700000000,8,2
6185,12,2,1-12-2017-002-06,6,2,5,2,1,6,1,6809.55000197747000000000,9,2
6185,12,2,1-12-2017-002-06,6,2,8,2,1,6,1,6809.55000197747000000000,9,2
6396,12,8,1-12-2017-008-03,3,1,7,5,2,6,1,1095.44977438854000000000,9,2
6438,12,9,1-12-2017-009-06,6,2,2,5,2,6,1,1810.24026052966000000000,9,2
7139,12,27,1-12-2017-027-01,1,1,1,1,1,3,3,473.93014835835700000000,9,2
7139,12,27,1-12-2017-027-01,1,1,2,99,9,6,1,473.93014835835700000000,9,2
7139,12,27,1-12-2017-027-01,1,1,3,99,9,6,1,473.93014835835700000000,9,2
7139,12,27,1-12-2017-027-01,1,1,4,99,9,6,1,473.93014835835700000000,9,2
7139,12,27,1-12-2017-027-01,1,1,7,99,9,6,1,473.93014835835700000000,9,2
7139,12,27,1-12-2017-027-01,1,1,10,99,9,6,1,473.93014835835700000000,9,2
7455,12,34,1-12-2017-034-04,4,1,1,1,1,1,3,3990.87077387485000000000,9,2
7618,12,39,1-12-2017-039-07,7,1,1,1,1,2,3,990.61558318088500000000,9,2
8066,12,53,1-12-2017-053-06,6,2,1,1,1,2,3,1216.52299057212000000000,9,2
8193,12,55,1-12-2017-055-05,5,1,1,1,1,5,9,385.57133132396900000000,9,2
8193,12,55,1-12-2017-055-05,5,1,2,2,2,6,1,385.57133132396900000000,9,2
8193,12,55,1-12-2017-055-05,5,1,4,6,2,6,1,385.57133132396900000000,9,2
8193,12,55,1-12-2017-055-05,5,1,5,6,1,6,1,385.57133132396900000000,9,2
8193,12,55,1-12-2017-055-05,5,1,7,6,2,6,1,385.57133132396900000000,9,2
8193,12,55,1-12-2017-055-05,5,1,8,6,1,6,1,385.57133132396900000000,9,2
8193,12,55,1-12-2017-055-05,5,1,10,6,1,6,1,385.57133132396900000000,9,2
8774,12,70,1-12-2017-070-01,1,1,2,99,9,6,9,473.93014835835700000000,9,2
6121,13,2,1-13-2017-002-03,3,2,2,2,2,1,8,721.07648595279900000000,7,2
6252,13,7,1-13-2017-007-02,2,2,2,4,2,2,3,62.50188682578690000000,7,2
6253,13,8,1-13-2017-008-01,1,1,1,1,1,9,9,188.95571273465500000000,7,2
6315,13,9,1-13-2017-009-04,4,2,3,4,2,1,2,4954.12389489274000000000,7,2
6591,13,21,1-13-2017-021-02,2,2,1,1,1,2,9,154.19440424639500000000,7,2
6882,13,36,1-13-2017-036-03,3,2,1,1,1,2,3,1223.97054512083000000000,7,2
6957,13,39,1-13-2017-039-02,2,5,1,1,1,4,9,140.15566461981000000000,7,2
6957,13,39,1-13-2017-039-02,2,5,6,4,1,6,1,140.15566461981000000000,7,2
6957,13,39,1-13-2017-039-02,2,5,9,4,1,6,1,140.15566461981000000000,7,2
6957,13,39,1-13-2017-039-02,2,5,10,4,1,6,1,140.15566461981000000000,7,2
6990,13,41,1-13-2017-041-02,2,1,1,1,1,1,9,114.87970684568800000000,7,2
6990,13,41,1-13-2017-041-02,2,1,2,5,2,1,9,114.87970684568800000000,7,2
7180,13,51,1-13-2017-051-02,2,1,1,1,1,2,3,223.87077588787700000000,7,2
7318,13,56,1-13-2017-056-02,2,2,1,1,1,1,3,201.63898984262400000000,7,2
7448,13,61,1-13-2017-061-05,5,1,1,1,1,2,3,111.72102148204900000000,7,2
7838,13,80,1-13-2017-080-02,2,1,1,1,1,2,4,51.90491220812200000000,7,2
7896,13,82,1-13-2017-082-05,5,2,1,1,1,2,3,95.65350164433570000000,7,2
7954,13,85,1-13-2017-085-09,9,1,1,1,1,3,1,5700.84514470473000000000,7,2
7954,13,85,1-13-2017-085-09,9,1,2,5,2,6,1,5700.84514470473000000000,7,2
8161,13,94,1-13-2017-094-08,8,2,1,1,1,5,3,700.49949956760400000000,7,2
6383,14,8,1-14-2017-008-08,8,1,1,1,1,1,3,1502.31800595479000000000,8,2
6618,14,15,1-14-2017-015-03,3,2,1,1,1,2,3,1955.82995505533000000000,8,2
6823,14,20,1-14-2017-020-02,2,2,3,2,3,1,2,358.19383091797000000000,8,2
6936,14,23,1-14-2017-023-02,2,1,1,1,1,2,9,310.24729344789100000000,8,2
7015,14,24,1-14-2017-024-02,2,1,1,1,1,2,3,621.76106225410500000000,8,2
7161,14,28,1-14-2017-028-02,2,2,1,1,1,2,3,299.17107424882100000000,8,2
7209,14,29,1-14-2017-029-07,7,1,1,1,1,2,3,5839.57216860709000000000,8,2
7655,14,40,1-14-2017-040-08,8,2,2,2,2,1,2,1502.31800595479000000000,8,2
7715,14,42,1-14-2017-042-02,2,1,1,1,1,2,3,216.31812574293200000000,8,2
7830,14,45,1-14-2017-045-05,5,1,1,1,1,2,3,331.76574405665300000000,8,2
8495,14,61,1-14-2017-061-05,5,1,1,1,1,2,1,425.66752853340800000000,8,2
8495,14,61,1-14-2017-061-05,5,1,2,99,9,6,1,425.66752853340800000000,8,2
8495,14,61,1-14-2017-061-05,5,1,4,99,1,1,1,425.66752853340800000000,8,2
8495,14,61,1-14-2017-061-05,5,1,7,99,1,1,1,425.66752853340800000000,8,2
8495,14,61,1-14-2017-061-05,5,1,10,99,1,1,1,425.66752853340800000000,8,2
8496,14,62,1-14-2017-062-01,1,1,1,1,1,2,9,473.93014835835700000000,8,2
8496,14,62,1-14-2017-062-01,1,1,2,99,9,6,9,473.93014835835700000000,8,2
8496,14,62,1-14-2017-062-01,1,1,3,5,2,1,9,473.93014835835700000000,8,2
8496,14,62,1-14-2017-062-01,1,1,4,99,9,6,9,473.93014835835700000000,8,2
8496,14,62,1-14-2017-062-01,1,1,5,99,1,6,9,473.93014835835700000000,8,2
8496,14,62,1-14-2017-062-01,1,1,7,99,9,6,9,473.93014835835700000000,8,2
8496,14,62,1-14-2017-062-01,1,1,8,5,1,6,9,473.93014835835700000000,8,2
8496,14,62,1-14-2017-062-01,1,1,10,99,1,6,9,473.93014835835700000000,8,2
8767,14,67,1-14-2017-067-02,2,1,1,1,1,2,3,382.61972314876800000000,8,2
6725,15,16,1-15-2017-016-05,5,1,1,1,1,2,9,165.94222400342600000000,1,2
6725,15,16,1-15-2017-016-05,5,1,2,4,2,1,1,165.94222400342600000000,1,2
6725,15,16,1-15-2017-016-05,5,1,3,4,2,6,1,165.94222400342600000000,1,2
6725,15,16,1-15-2017-016-05,5,1,4,5,1,6,1,165.94222400342600000000,1,2
6725,15,16,1-15-2017-016-05,5,1,7,5,1,6,1,165.94222400342600000000,1,2
6725,15,16,1-15-2017-016-05,5,1,10,5,1,6,1,165.94222400342600000000,1,2
6725,15,16,1-15-2017-016-05,5,1,13,6,2,1,1,165.94222400342600000000,1,2
7745,15,57,1-15-2017-057-03,3,2,1,1,1,1,3,320.25823357408600000000,1,2
7969,15,70,1-15-2017-070-03,3,1,1,1,1,2,3,270.28161021164900000000,1,2
8179,15,81,1-15-2017-081-02,2,1,2,99,9,1,8,11.53676591472070000000,1,2
6103,16,2,1-16-2017-002-03,3,2,1,1,1,1,3,299.33367263326100000000,5,2
6175,16,5,1-16-2017-005-09,9,2,1,1,1,1,3,2962.15877300143000000000,5,2
6303,16,9,1-16-2017-009-05,5,1,1,1,1,2,3,141.91999980010600000000,5,2
6349,16,11,1-16-2017-011-02,2,2,1,1,1,1,3,23.54765987378520000000,5,2
6386,16,13,1-16-2017-013-09,9,1,3,2,2,6,1,1126.03630615239000000000,5,2
6386,16,13,1-16-2017-013-09,9,1,10,99,2,6,1,1126.03630615239000000000,5,2
6386,16,13,1-16-2017-013-09,9,2,5,6,1,6,1,1126.03630615239000000000,5,2
6527,16,20,1-16-2017-020-01,1,1,1,1,1,2,9,114.65642815516700000000,5,2
6528,16,21,1-16-2017-021-05,5,1,2,3,2,6,1,83.13617271333370000000,5,2
6528,16,21,1-16-2017-021-05,5,1,4,3,2,6,1,83.13617271333370000000,5,2
6606,16,24,1-16-2017-024-02,2,2,1,1,1,2,9,33.68808999589450000000,5,2
6660,16,28,1-16-2017-028-08,8,2,7,3,2,6,1,1148.15376578354000000000,5,2
6660,16,28,1-16-2017-028-08,8,2,8,3,1,6,1,1148.15376578354000000000,5,2
6660,16,28,1-16-2017-028-08,8,2,10,3,1,6,1,1148.15376578354000000000,5,2
7240,16,48,1-16-2017-048-01,1,1,1,1,1,2,3,85.68803151017660000000,5,2
7304,16,51,1-16-2017-051-06,6,1,1,1,1,2,1,3067.09838689603000000000,5,2
7357,16,52,1-16-2017-052-08,8,1,2,3,2,1,2,446.39018515147900000000,5,2
7357,16,52,1-16-2017-052-08,8,2,5,3,1,6,1,446.39018515147900000000,5,2
7357,16,52,1-16-2017-052-08,8,2,13,99,4,6,1,446.39018515147900000000,5,2
7530,16,56,1-16-2017-056-05,5,1,2,2,2,6,1,67.91261798517790000000,5,2
7530,16,56,1-16-2017-056-05,5,1,3,2,2,6,1,67.91261798517790000000,5,2
7530,16,56,1-16-2017-056-05,5,1,4,2,2,6,1,67.91261798517790000000,5,2
7589,16,57,1-16-2017-057-03,3,2,4,2,1,6,1,1086.81269314683000000000,5,2
7657,16,59,1-16-2017-059-02,2,2,3,3,2,6,1,36.43112050276990000000,5,2
7657,16,59,1-16-2017-059-02,2,2,7,3,2,6,1,36.43112050276990000000,5,2
7842,16,61,1-16-2017-061-03,3,2,2,2,2,6,1,758.40852943395400000000,5,2
8953,16,93,1-16-2017-093-03,3,1,2,6,2,6,1,387.27514087760900000000,5,2
6635,17,18,1-17-2017-018-01,1,1,2,2,2,6,1,269.66330320321100000000,4,2
7066,17,31,1-17-2017-031-02,2,2,7,6,2,1,2,67.58279126353610000000,4,2
7558,17,49,1-17-2017-049-03,3,1,1,1,1,2,3,134.78804348316800000000,4,2
8810,17,92,1-17-2017-092-08,8,1,1,1,1,2,3,265.66832544665600000000,4,2
8948,17,94,1-17-2017-094-02,2,1,1,1,1,3,9,187.31185938244400000000,4,2
9025,17,95,1-17-2017-095-01,1,1,1,1,1,2,3,141.13979406929600000000,4,2
6504,18,10,1-18-2017-010-09,9,1,1,1,1,3,2,2893.11600762170000000000,6,2
6754,18,17,1-18-2017-017-09,9,1,1,1,1,2,3,2543.89401154685000000000,6,2
7069,18,26,1-18-2017-026-01,1,1,1,1,1,2,1,406.96035874213900000000,6,2
7069,18,26,1-18-2017-026-01,1,1,2,2,2,1,1,406.96035874213900000000,6,2
7069,18,26,1-18-2017-026-01,1,1,3,2,2,1,8,406.96035874213900000000,6,2
7069,18,26,1-18-2017-026-01,1,1,4,6,3,1,1,406.96035874213900000000,6,2
7069,18,26,1-18-2017-026-01,1,1,5,6,1,1,1,406.96035874213900000000,6,2
7069,18,26,1-18-2017-026-01,1,1,7,6,2,6,1,406.96035874213900000000,6,2
7069,18,26,1-18-2017-026-01,1,1,8,6,1,6,1,406.96035874213900000000,6,2
7069,18,26,1-18-2017-026-01,1,1,10,6,1,6,1,406.96035874213900000000,6,2
7069,18,26,1-18-2017-026-01,1,2,1,1,1,2,1,406.96035874213900000000,6,2
7069,18,26,1-18-2017-026-01,1,2,2,5,2,6,1,406.96035874213900000000,6,2
7069,18,26,1-18-2017-026-01,1,2,3,5,2,6,1,406.96035874213900000000,6,2
7069,18,26,1-18-2017-026-01,1,2,4,2,2,6,1,406.96035874213900000000,6,2
7069,18,26,1-18-2017-026-01,1,2,7,2,2,6,1,406.96035874213900000000,6,2
7069,18,26,1-18-2017-026-01,1,2,10,2,1,6,1,406.96035874213900000000,6,2
8880,18,73,1-18-2017-073-01,1,1,1,1,1,2,1,136.74127624896500000000,6,2
8880,18,73,1-18-2017-073-01,1,1,2,2,2,6,9,136.74127624896500000000,6,2
8880,18,73,1-18-2017-073-01,1,1,3,2,3,1,1,136.74127624896500000000,6,2
8880,18,73,1-18-2017-073-01,1,1,4,6,1,6,1,136.74127624896500000000,6,2
8880,18,73,1-18-2017-073-01,1,1,7,6,1,7,7,136.74127624896500000000,6,2
8880,18,73,1-18-2017-073-01,1,1,10,2,1,6,1,136.74127624896500000000,6,2
6266,19,13,1-19-2017-013-05,5,1,1,1,1,2,3,79.98489951025890000000,9,2
6269,19,14,1-19-2017-014-09,9,1,1,1,1,1,3,933.15590969023200000000,9,2
6310,19,17,1-19-2017-017-02,2,1,1,1,1,1,3,102.08901342749200000000,9,2
6312,19,18,1-19-2017-018-03,3,2,1,1,1,1,3,252.84641086525500000000,9,2
6362,19,19,1-19-2017-019-06,6,2,1,1,1,2,2,417.70420985892400000000,9,2
6498,19,26,1-19-2017-026-05,5,2,1,1,1,2,3,253.13956462978300000000,9,2
6584,19,31,1-19-2017-031-05,5,1,1,1,1,1,3,79.98489951025890000000,9,2
6712,19,38,1-19-2017-038-08,8,2,1,1,1,1,3,910.33628787797500000000,9,2
6904,19,48,1-19-2017-048-01,1,1,1,1,1,2,3,144.57700864551200000000,9,2
7115,19,60,1-19-2017-060-05,5,2,1,1,1,1,3,169.97030620833300000000,9,2
7215,19,65,1-19-2017-065-02,2,2,1,1,1,2,3,102.08901342749200000000,9,2
7313,19,71,1-19-2017-071-02,2,1,1,1,1,2,3,102.25436852187300000000,9,2
7315,19,73,1-19-2017-073-06,6,1,1,1,1,2,3,1873.17869437277000000000,9,2
7364,19,75,1-19-2017-075-08,8,1,1,1,1,2,3,215.27777464898600000000,9,2
7429,19,78,1-19-2017-078-05,5,1,1,1,1,1,3,79.98489951025890000000,9,2
7588,19,84,1-19-2017-084-02,2,1,2,2,1,6,1,139.95942335359900000000,9,2
7658,19,85,1-19-2017-085-08,8,1,1,1,1,1,3,521.30132321064800000000,9,2
7852,19,94,1-19-2017-094-02,2,2,1,1,1,1,3,102.08901342749200000000,9,2
8365,19,116,1-19-2017-116-05,5,1,1,1,1,1,3,79.98489951025890000000,9,2
8700,19,130,1-19-2017-130-08,8,1,1,1,1,2,3,1502.31800595479000000000,9,2
8944,19,140,1-19-2017-140-01,1,1,1,1,1,1,3,144.57700864551200000000,9,2
6207,20,4,1-20-2017-004-04,4,1,1,1,1,1,3,671.33275677081700000000,11,2
6640,20,24,1-20-2017-024-01,1,1,1,1,1,9,9,69.28855850244140000000,11,2
6640,20,24,1-20-2017-024-01,1,1,2,2,9,9,9,69.28855850244140000000,11,2
6640,20,24,1-20-2017-024-01,1,1,3,2,9,9,9,69.28855850244140000000,11,2
6640,20,24,1-20-2017-024-01,1,1,4,2,9,9,9,69.28855850244140000000,11,2
6640,20,24,1-20-2017-024-01,1,1,7,2,9,9,9,69.28855850244140000000,11,2
6806,20,33,1-20-2017-033-08,8,1,1,1,1,9,9,313.37870302556000000000,11,2
6877,20,38,1-20-2017-038-08,8,1,1,1,1,2,9,222.08499015785700000000,11,2
6965,20,44,1-20-2017-044-05,5,1,1,1,1,2,3,73.05340524785740000000,11,2
6965,20,44,1-20-2017-044-05,5,1,2,3,9,9,9,73.05340524785740000000,11,2
6971,20,46,1-20-2017-046-02,2,1,1,1,1,2,9,39.06733804536630000000,11,2
6971,20,46,1-20-2017-046-02,2,1,4,2,9,9,9,39.06733804536630000000,11,2
6971,20,46,1-20-2017-046-02,2,2,1,1,1,2,1,39.06733804536630000000,11,2
6971,20,46,1-20-2017-046-02,2,2,2,2,9,4,9,39.06733804536630000000,11,2
6971,20,46,1-20-2017-046-02,2,2,3,2,2,2,1,39.06733804536630000000,11,2
7090,20,55,1-20-2017-055-02,2,1,1,99,1,4,9,39.06733804536630000000,11,2
7090,20,55,1-20-2017-055-02,2,1,2,2,2,2,9,39.06733804536630000000,11,2
7090,20,55,1-20-2017-055-02,2,1,3,2,9,6,1,39.06733804536630000000,11,2
7090,20,55,1-20-2017-055-02,2,1,4,2,2,6,1,39.06733804536630000000,11,2
7230,20,63,1-20-2017-063-08,8,1,1,1,1,2,3,118.63788302479000000000,11,2
7283,20,68,1-20-2017-068-09,9,2,1,1,1,2,9,1428.57730217801000000000,11,2
7330,20,71,1-20-2017-071-09,9,2,1,1,1,2,1,596.72288100961600000000,11,2
7330,20,71,1-20-2017-071-09,9,2,2,2,9,6,9,596.72288100961600000000,11,2
7330,20,71,1-20-2017-071-09,9,2,3,2,2,1,1,596.72288100961600000000,11,2
7330,20,71,1-20-2017-071-09,9,2,4,6,1,1,1,596.72288100961600000000,11,2
7330,20,71,1-20-2017-071-09,9,2,7,6,1,1,1,596.72288100961600000000,11,2
7442,20,78,1-20-2017-078-03,3,1,1,1,1,2,1,88.26899025723930000000,11,2
7557,20,85,1-20-2017-085-04,4,2,4,2,9,1,1,673.60444834326800000000,11,2
7860,20,100,1-20-2017-100-03,3,1,1,1,1,2,1,97.23967098172880000000,11,2
7860,20,100,1-20-2017-100-03,3,1,3,2,9,6,1,97.23967098172880000000,11,2
7860,20,100,1-20-2017-100-03,3,2,1,1,1,2,1,97.23967098172880000000,11,2
7915,20,103,1-20-2017-103-01,1,1,1,1,1,2,9,88.90847183912900000000,11,2
8016,20,110,1-20-2017-110-01,1,1,1,1,1,2,9,56.81933354281490000000,11,2
8016,20,110,1-20-2017-110-01,1,1,2,2,2,1,8,56.81933354281490000000,11,2
8016,20,110,1-20-2017-110-01,1,1,3,2,2,6,1,56.81933354281490000000,11,2
8016,20,110,1-20-2017-110-01,1,1,4,6,2,1,1,56.81933354281490000000,11,2
8016,20,110,1-20-2017-110-01,1,1,7,7,2,1,1,56.81933354281490000000,11,2
8016,20,110,1-20-2017-110-01,1,1,10,6,1,1,1,56.81933354281490000000,11,2
8384,20,134,1-20-2017-134-02,2,1,1,1,1,2,9,39.06733804536630000000,11,2
8825,20,154,1-20-2017-154-05,5,1,1,1,1,2,9,37.31615053221780000000,11,2
8973,20,162,1-20-2017-162-02,2,2,1,1,1,2,9,39.06733804536630000000,11,2
6679,21,13,1-21-2017-013-08,8,1,1,1,1,2,1,871.90685762861200000000,11,2
6679,21,13,1-21-2017-013-08,8,1,2,5,3,1,8,871.90685762861200000000,11,2
6679,21,13,1-21-2017-013-08,8,1,3,5,4,1,1,871.90685762861200000000,11,2
6679,21,13,1-21-2017-013-08,8,1,4,2,2,1,1,871.90685762861200000000,11,2
6679,21,13,1-21-2017-013-08,8,1,5,2,1,1,1,871.90685762861200000000,11,2
6679,21,13,1-21-2017-013-08,8,1,7,2,2,1,1,871.90685762861200000000,11,2
6679,21,13,1-21-2017-013-08,8,1,8,2,1,1,1,871.90685762861200000000,11,2
6679,21,13,1-21-2017-013-08,8,1,10,2,1,1,1,871.90685762861200000000,11,2
6793,21,16,1-21-2017-016-09,9,1,2,2,9,9,9,1166.36244670081000000000,11,2
7319,21,28,1-21-2017-028-03,3,1,1,1,1,2,3,367.46719304229100000000,11,2
8975,21,77,1-21-2017-077-03,3,1,1,1,1,9,9,332.65973799181000000000,11,2
6198,22,3,1-22-2017-003-09,9,1,1,1,1,1,1,358.51160696737600000000,12,2
6254,22,7,1-22-2017-007-09,9,1,1,1,1,2,1,302.83515933275000000000,12,2
6321,22,11,1-22-2017-011-09,9,1,2,2,2,6,1,282.52237571216900000000,12,2
6321,22,11,1-22-2017-011-09,9,1,10,2,2,6,1,282.52237571216900000000,12,2
6448,22,18,1-22-2017-018-06,6,1,1,1,1,1,3,156.07118900757200000000,12,2
6448,22,18,1-22-2017-018-06,6,2,1,1,1,2,3,156.07118900757200000000,12,2
6500,22,20,1-22-2017-020-09,9,2,1,1,1,2,3,795.82838325283200000000,12,2
6501,22,21,1-22-2017-021-03,3,1,1,1,1,9,9,112.45942594115200000000,12,2
6501,22,21,1-22-2017-021-03,3,1,2,6,2,9,9,112.45942594115200000000,12,2
6501,22,21,1-22-2017-021-03,3,1,4,6,2,9,9,112.45942594115200000000,12,2
6501,22,21,1-22-2017-021-03,3,1,10,99,1,9,9,112.45942594115200000000,12,2
6544,22,22,1-22-2017-022-08,8,1,1,1,1,9,1,135.03227027435800000000,12,2
6544,22,22,1-22-2017-022-08,8,1,3,2,2,6,9,135.03227027435800000000,12,2
6595,22,24,1-22-2017-024-03,3,1,1,1,1,1,1,166.37461575824400000000,12,2
6596,22,25,1-22-2017-025-03,3,1,1,1,1,2,9,166.37461576679500000000,12,2
6596,22,25,1-22-2017-025-03,3,1,5,6,1,6,1,166.37461576679500000000,12,2
6596,22,25,1-22-2017-025-03,3,1,10,99,1,6,1,166.37461576679500000000,12,2
6649,22,28,1-22-2017-028-06,6,2,10,99,1,6,1,104.62562005192100000000,12,2
6795,22,37,1-22-2017-037-03,3,2,1,1,1,1,3,138.60198853582200000000,12,2
6875,22,41,1-22-2017-041-08,8,1,1,1,1,2,1,113.69569845778500000000,12,2
6875,22,41,1-22-2017-041-08,8,1,2,99,2,6,1,113.69569845778500000000,12,2
6875,22,41,1-22-2017-041-08,8,1,3,99,2,6,1,113.69569845778500000000,12,2
6875,22,41,1-22-2017-041-08,8,1,10,99,1,6,1,113.69569845778500000000,12,2
6920,22,44,1-22-2017-044-08,8,1,1,1,1,9,9,83.04274410109830000000,12,2
6925,22,45,1-22-2017-045-07,7,1,1,1,1,3,1,144.59741615121700000000,12,2
6960,22,46,1-22-2017-046-01,1,1,3,2,2,1,2,96.89001786134840000000,12,2
7028,22,50,1-22-2017-050-01,1,1,2,2,2,6,1,109.84231520000200000000,12,2
7071,22,52,1-22-2017-052-01,1,1,1,1,1,2,3,96.89001786134840000000,12,2
7071,22,52,1-22-2017-052-01,1,1,2,99,4,6,1,96.89001786134840000000,12,2
7071,22,52,1-22-2017-052-01,1,1,3,99,4,1,1,96.89001786134840000000,12,2
7071,22,52,1-22-2017-052-01,1,1,4,99,1,6,1,96.89001786134840000000,12,2
7071,22,52,1-22-2017-052-01,1,1,7,99,1,6,1,96.89001786134840000000,12,2
7071,22,52,1-22-2017-052-01,1,1,10,99,1,6,1,96.89001786134840000000,12,2
7071,22,52,1-22-2017-052-01,1,1,13,99,9,4,9,96.89001786134840000000,12,2
7071,22,52,1-22-2017-052-01,1,2,1,1,1,2,3,96.89001786134840000000,12,2
7128,22,55,1-22-2017-055-06,6,2,1,1,1,2,3,151.41385169557500000000,12,2
7178,22,59,1-22-2017-059-01,1,1,1,1,1,2,9,92.64588156526900000000,12,2
7178,22,59,1-22-2017-059-01,1,1,2,99,4,6,1,92.64588156526900000000,12,2
7178,22,59,1-22-2017-059-01,1,1,3,99,9,6,1,92.64588156526900000000,12,2
7178,22,59,1-22-2017-059-01,1,1,5,99,1,6,1,92.64588156526900000000,12,2
7178,22,59,1-22-2017-059-01,1,1,8,99,1,1,1,92.64588156526900000000,12,2
7178,22,59,1-22-2017-059-01,1,1,10,99,1,1,1,92.64588156526900000000,12,2
7220,22,62,1-22-2017-062-01,1,2,3,2,2,1,2,91.25203491962530000000,12,2
